countries,Base/location,Region,Latitude,Longitude,Weapon system,Remarks
Russia,Uzhur Missile Division,Krasnoyarsk,56.012626,92.972442,SS-18 ICBMs,Warheads for 28 ICBMs
Russia,Vilyuchinsk,Kamchatka,56.441994,159.584523,SS-N-18 and SS-N-32 SLBMs,Warheads for Delta-III and Borei SSBNs
Russia,Vnukovo,Moscow,55.76159,37.60946,Gazelle ABMs,12 Gazelle ABM interceptorsp
Russia,Vypolzovo Missile Division,Novogorod/Tver,58.5408,31.262816,SS-25 ICBMs,Warheads for 18 ICBMs
Russia,Yagelnaya (Gadzhiyevo) NB,Kola,42.746685,-84.544235,SS-N-23 and SS-N-32 SLBMs,Warheads for Delta IV and Borei-class SSBNs. Weapons storage east of base. Might also store other naval weapons
Russia,Yoshkar-Ola Missile Division,Mari El,56.58388,47.91324,SS-25 ICBMs,Warheads for 27 ICBMs
Russia,Zalari (Irkutsk-45),Transbaikal,53.79713,114.9401,Various,National-level warhead storage site
Turkey,Incirlik AB,Adana,36.991421,35.33083,B61-3/4,US bombs for delivery by rotational F-16s from other US bases. No US fighter-wing permanently deployed
United Kingdom,Aldermaston Atomic Weapons Establishment,England,52.355518,-1.17432,British Trident System,Warhead design. Possibly a few warheads present
United Kingdom,Burghfield Atomic Weapons Establishment,England,52.355518,-1.17432,British Trident System,"Warhead assembly, disassembly, and dismantlement"
United Kingdom,Coulport Royal Navy Ammunition Depot,Scotland,56.490669,-4.202646,British Trident System,National-level warhead storage site
United Kingdom,Faslane Royal Navy Base,Scotland,56.490669,-4.202646,Warheads and Trident II D5 SLBMs,For Vanguard-class SSBNs
United States,Bangor (Kitsap) NSB,Washington,47.751076,-120.740135,"W76-0, W76-1, W88, Trident II D5 SLBMs",For eight Ohio-class SSBNs of which five to six are normally deployed
United States,Kings Bay NSB,Georgia,32.165623,-82.900078,"W76-0, W76-1, W88, Trident II D5 SLBM",For six Ohio-class SSBNs of which three to four are normally deployed
United States,KUMMSCr,New Mexico,34.519939,-105.870087,"B61 (all types), W80-1, B83-1, W78-0, W87s","Air Force storage site with 40 bays of 300,000 square feet (28,000 square meters)"
United States,Lawrence Livermore National Laboratory,California,36.778259,-119.417931,"(W80-1, B83-1, W87)t","Warhead design, surveillance, and maintenance"
United States,Los Alamos National Laboratory,New Mexico,34.519939,-105.870087,"(B61 (all types), W76-0, W76-1, W78-0, W88)t","Warhead design, surveillance, and maintenance"
United States,Malmstrom AFB and Missile Field,Montana,46.879681,-110.362564,"W78-0, W87",Warheads for 150 Minuteman III ICBMs
United States,Minot AFB and Missile Field,North Dakota,47.551495,47.551495,"W78-0, W80-1, W87",Warheads for 150 Minuteman III ICBMs and ALCMs for B-52Hs of the 5th Bomb Wing (Minot) and the 2nd Bomb Wing (Barksdale)
United States,Pantex Plant,Texas,31.968599,-99.90181,Various,"Assembly, disassembly, and dismantlement of all warhead types"
United States,Strategic Weapons Facility Atlantic (Kings Bay NSB),Georgia,32.165623,-82.900078,"W76-0, W76-1, W88, Trident II D5 SLBMs",Navy warhead storage site
United States,Strategic Weapons Facility Pacific (Bangor NSB),Washington,47.751076,-120.740135,"W76-0, W76-1, W88, Trident II D5 SLBMs",Navy warhead storage site
United States,Warren AFB and Missile Field,"Colorado, Nebraska, Wyoming",39.550053,-105.782066,"W78-0, W87",Warheads for 150 Minuteman III ICBMs
United States,Whiteman AFB,Missouri,37.964252,-91.831833,"B61-7/11, B83-1",For B-2As of the 509th Bomb Wing
